,AX1_BRTIMP,AX2_HONORA,AX2_LOYERS,AX3_REVCAP,AX5_MNTMAR,target,GROUP
0,0.0,58912000.0,0.0,2530630.0,0.0,13.575956843434884,1
1,0.0,3425295.0,0.0,10924985.0,0.0,11.692894256180587,1
4,0.0,21604529.0,0.0,0.0,0.0,13.399982992717025,1
7,0.0,0.0,0.0,0.0,92321758.0,14.144894877400407,1
10,0.0,58383780.0,0.0,0.0,8960400.0,16.054421609383926,1
11,0.0,25200000.0,0.0,1219594.0,0.0,14.248591481613634,1
12,0.0,39493928.0,0.0,0.0,74165396.0,18.877550373595444,1
13,0.0,0.0,0.0,0.0,173522848.0,17.717433731364512,1
15,0.0,0.0,0.0,0.0,1621320.0,0.0,0
16,0.0,33188985.0,0.0,0.0,1526048143.0,0.0,0
17,0.0,15602500.0,0.0,0.0,6131418895.0,0.0,0
18,0.0,11532200.0,0.0,0.0,8500400.0,15.706732332556145,1
19,0.0,21302400.0,0.0,0.0,0.0,14.640738517016628,1
20,0.0,3550320.0,0.0,0.0,815934852.0,13.198590816186705,1
21,0.0,1050400.0,0.0,0.0,25002734.0,18.117452412204575,1
23,0.0,0.0,0.0,1390.0,0.0,16.455398471120933,1
24,0.0,0.0,0.0,0.0,43992000.0,14.953591926376028,1
25,0.0,0.0,0.0,0.0,0.0,0.0,0
26,0.0,0.0,0.0,0.0,68003000.0,16.939526541610512,1
27,0.0,0.0,0.0,0.0,0.0,14.769887513548007,1
28,0.0,0.0,0.0,24065.0,0.0,16.115638735211142,1
29,0.0,0.0,0.0,0.0,339163663.0,20.091467226912318,1
30,0.0,0.0,0.0,0.0,204997282.0,15.958901892827885,1
31,0.0,0.0,0.0,12230.0,0.0,0.0,0
32,0.0,0.0,0.0,0.0,583554534.0,0.0,0
33,0.0,0.0,0.0,631910.0,0.0,15.213941966240464,1
35,0.0,0.0,700000000.0,204898351.0,0.0,0.0,0
36,0.0,42771500.0,0.0,0.0,0.0,13.855316676657367,1
37,0.0,4814400.0,0.0,0.0,242866347.0,17.524298295557283,1
38,0.0,0.0,0.0,6000.0,0.0,15.210765155995652,1
39,0.0,524700.0,0.0,0.0,554400.0,14.107507557713161,1
41,0.0,383266329.0,0.0,8972.0,2987607610.0,17.593311692442594,1
43,71054837.0,0.0,0.0,606575.0,0.0,17.070228626147347,1
44,0.0,0.0,0.0,0.0,98191228.0,17.295903242199813,1
45,0.0,0.0,0.0,0.0,17888646.0,0.0,0
46,0.0,9677356.0,0.0,1322845.0,79529800.0,0.0,0
49,0.0,97045671.0,0.0,2141824.0,0.0,11.49199800528723,1
50,0.0,0.0,0.0,1640.0,0.0,14.421314488288937,1
51,0.0,0.0,0.0,0.0,165000.0,16.79676909045346,1
52,0.0,0.0,0.0,0.0,0.0,11.061625820518264,1
53,0.0,0.0,0.0,0.0,4333952.0,15.046866595813901,1
54,0.0,0.0,0.0,27631.0,51858400.0,15.071645833833832,1
55,0.0,0.0,0.0,0.0,30496795.0,13.621981632576153,1
56,0.0,0.0,0.0,0.0,7644817390.0,0.0,0
59,0.0,0.0,0.0,6109600.0,0.0,12.523365703327956,1
60,0.0,93697024.0,0.0,2820123.0,0.0,0.0,0
62,0.0,0.0,0.0,0.0,1180533.0,16.891033245830045,1
64,0.0,144445408.0,0.0,22524890.0,103359168.0,0.0,0
65,0.0,240000.0,0.0,0.0,0.0,12.58090327306224,1
66,0.0,0.0,0.0,0.0,8986180.0,11.602647331927454,1
67,0.0,36115653.0,0.0,0.0,0.0,15.16864490274801,1
68,0.0,0.0,0.0,0.0,0.0,0.0,0
69,0.0,4235000.0,0.0,0.0,0.0,14.683577385313738,1
70,0.0,0.0,0.0,0.0,153996103.0,17.448599568023145,1
71,0.0,0.0,0.0,0.0,0.0,19.408008567936687,1
72,0.0,0.0,0.0,0.0,0.0,15.624077323286473,1
73,0.0,106049362.0,0.0,0.0,7246762.0,16.60057895906284,1
74,0.0,2240300.0,0.0,0.0,0.0,0.0,0
75,0.0,49275572.0,0.0,0.0,131678619.0,17.015779340539627,1
76,0.0,0.0,0.0,21268445.0,68027476.0,16.60149712688601,1
78,0.0,247641460.0,0.0,0.0,18021263.0,16.897148655943138,1
79,0.0,29048143.0,0.0,24775.0,623075.0,14.86723247671052,1
81,0.0,0.0,0.0,0.0,0.0,0.0,0
83,0.0,22956000.0,0.0,0.0,0.0,0.0,0
84,0.0,853801406.0,0.0,0.0,0.0,0.0,0
85,0.0,0.0,0.0,40688370.0,10542659165.0,17.431834104080316,1
86,0.0,0.0,0.0,0.0,7054067.0,0.0,0
87,0.0,0.0,0.0,0.0,371690616.0,17.523560429768082,1
